año,película,reparto,personaje
1989,Átame,Victoria Abril,Marina Osorio
1989,Átame,Antonio Banderas,Ricky
1989,Átame,Loles León,Lola (as Loles Leon)
1989,Átame,María Barranco,Berta (as Maria Barranco)
1989,Átame,Rossy de Palma,Traficante de drogas en Vespa
1989,Átame,Julieta Serrano,Alma
1989,Átame,Francisco Rabal,Máximo Espejo
1989,Átame,Lola Cardona,Directora psiquiátrico
1989,Átame,Montse G. Romeu,Montse
1989,Átame,Emiliano Redondo,Decorador
1989,Átame,Oswaldo Delgado,Fantasma
1989,Átame,Concha Rabal,Farmacéutica
1989,Átame,Alberto Fernández,Productor (as Alberto Fernandez)
1989,Átame,José María Tasso,Anciano psiquiátrico
1989,Átame,Angelina Llongueras,Montadora
1989,Átame,Manuel Bandera,Bailarín tango
1989,Átame,Virginia Díez,Bailarín tango
1989,Átame,Juana Cordero,Dependiente bombonería
1989,Átame,Francisca Caballero,Madre de Marina
1989,Átame,Francisca Pajuelo,Hija de Lola
1989,Átame,Víctor Coyote,Hermano de Lola (as Victor Aparicio)
1989,Átame,Carlos García Cambero,Hermano de Lola (as Carlos Gª Cambero)
1989,Átame,Alito Rodgers,Man
1989,Átame,Tamaki,Camello
1989,Átame,Malena Gracia,Enfermera (as Almudena Gracia)
1989,Átame,Agustín Almodóvar,Farmacéutico (as Agustin Almodovar)
1989,Átame,Rodolfo Montero,Guarda jurado
1989,Átame,Miguel García,Gitano viejo
1989,Átame,Pedro Losada,Gitano joven
1988,"Mujeres al borde de un ataque de ""nervios"" ",Carmen Maura,Pepa
1988,"Mujeres al borde de un ataque de ""nervios"" ",Antonio Banderas,Carlos
1988,"Mujeres al borde de un ataque de ""nervios"" ",Julieta Serrano,Lucía
1988,"Mujeres al borde de un ataque de ""nervios"" ",María Barranco,Candela
1988,"Mujeres al borde de un ataque de ""nervios"" ",Rossy de Palma,Marisa
1988,"Mujeres al borde de un ataque de ""nervios"" ",Kiti Mánver,Paulina Morales (as Kiti Manver)
1988,"Mujeres al borde de un ataque de ""nervios"" ",Guillermo Montesinos,Taxista
1988,"Mujeres al borde de un ataque de ""nervios"" ",Chus Lampreave,Portera Testiga de Jehová
1988,"Mujeres al borde de un ataque de ""nervios"" ",Eduardo Calvo,Padre de Lucía (as Yayo Calvo)
1988,"Mujeres al borde de un ataque de ""nervios"" ",Loles León,Secretaria
1988,"Mujeres al borde de un ataque de ""nervios"" ",Ángel de Andrés López,Policía I (as Angel de Andrés-López)
1988,"Mujeres al borde de un ataque de ""nervios"" ",Fernando Guillén,Iván
1988,"Mujeres al borde de un ataque de ""nervios"" ",Juan Lombardero,Germán
1988,"Mujeres al borde de un ataque de ""nervios"" ",José Antonio Navarro,Policía II
1988,"Mujeres al borde de un ataque de ""nervios"" ",Ana Leza,Ana
1988,"Mujeres al borde de un ataque de ""nervios"" ",Ambite,Ambite
1988,"Mujeres al borde de un ataque de ""nervios"" ",Mary González,Madre Lucía
1988,"Mujeres al borde de un ataque de ""nervios"" ",Lupe Barrado,Secretaria Paulina
1988,"Mujeres al borde de un ataque de ""nervios"" ",Joaquín Climent,Policía I Spot
1988,"Mujeres al borde de un ataque de ""nervios"" ",Chema Gil,Policía II Spot
1988,"Mujeres al borde de un ataque de ""nervios"" ",Gabriel Latorre,Cura
1988,"Mujeres al borde de un ataque de ""nervios"" ",Francisca Caballero,Locutora TV
1988,"Mujeres al borde de un ataque de ""nervios"" ",Carlos García Cambero,Empleado averías (as Carlos Gambero)
1988,"Mujeres al borde de un ataque de ""nervios"" ",Agustín Almodóvar,Empleado Inmobiliaria
1988,"Mujeres al borde de un ataque de ""nervios"" ",Tomás Corrales,Basurero
1988,"Mujeres al borde de un ataque de ""nervios"" ",Eva González,Chica que baila
1988,"Mujeres al borde de un ataque de ""nervios"" ",Carmen Espada,Farmacéutica
1988,"Mujeres al borde de un ataque de ""nervios"" ",Susana Miraño,Clienta Enmascarada I
1988,"Mujeres al borde de un ataque de ""nervios"" ",Paquita Fernández,Clienta Enmascarada II
1988,"Mujeres al borde de un ataque de ""nervios"" ",Federico García Cambero,Dependiente Farmacia (as Federico Gambero)
1988,"Mujeres al borde de un ataque de ""nervios"" ",Gregorio Ros,Médico (as Gregorio Ross)
1988,"Mujeres al borde de un ataque de ""nervios"" ",Paco Virseda,Mensajero
1988,"Mujeres al borde de un ataque de ""nervios"" ",Imanol Uribe,Marido
1988,"Mujeres al borde de un ataque de ""nervios"" ",José Marco,Padrino
1988,"Mujeres al borde de un ataque de ""nervios"" ",Los Angeles Barea,La Mujer Policía (uncredited)
1987,La ley del deseo,Eusebio Poncela,Pablo Quintero
1987,La ley del deseo,Carmen Maura,Tina Quintero
1987,La ley del deseo,Antonio Banderas,Antonio Benítez
1987,La ley del deseo,Miguel Molina,Juan Bermúdez
1987,La ley del deseo,Fernando Guillén,Inspector de policía
1987,La ley del deseo,Manuela Velasco,"Ada, niña"
1987,La ley del deseo,Nacho Martínez,Doctor Martín
1987,La ley del deseo,Bibiana Fernández,Ada - madre (as Bibí Andersen)
